"231285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KESUMA JAYA RAYA"
"232285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"PT. SARANA PERSADA JAYA RAYA"
"235285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. JAYA MAKMUR"
"236285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. HARMONI YASA"
"237285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.Sasmita"
"238285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KARTIKA BUANA"
"239285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. TERA"
"240285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. HARMONI YASA"
"241285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV ATNAWIJAYA"
"242285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. HATI SAMUDRA"
"243285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. MULTI TEKNIK CORPORATION"
"244285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. SUKMA"
"246285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.Sasmita"
"248285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"MEGA PUTRA"
"249285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"cv. mekar sejahtera"
"250285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. HADI KARYA"
"251285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.Karya Manunggal"
"252285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. HADI KARYA"
"253285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. PAKER BARU"
"257285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"CV.DE LAROSSA"
